"customer_city","customer_state","customer_count","total_revenue","avg_revenue_per_customer"
sao paulo,SP,15540,2203373.09,141.7872001287001287
rio de janeiro,RJ,6882,1161927.36,168.8357105492589364
belo horizonte,MG,2773,421765.12,152.0970501262170934
brasilia,DF,2131,354216.78,166.2209197559831065
curitiba,PR,1521,247392.48,162.6512031558185404
porto alegre,RS,1379,224731.42,162.9669470630891951
salvador,BA,1245,218071.50,175.1578313253012048
campinas,SP,1444,216248.43,149.7565304709141274
guarulhos,SP,1189,165121.99,138.8746761984861228
niteroi,RJ,849,139996.99,164.8963368669022379
goiania,GO,692,125494.60,181.3505780346820809
sao bernardo do campo,SP,938,120434.84,128.3953518123667377
fortaleza,CE,654,119863.47,183.2774770642201835
santos,SP,713,112343.17,157.5640532959326788
recife,PE,613,110745.23,180.6610603588907015
florianopolis,SC,570,106512.16,186.8634385964912281
santo andre,SP,796,105536.19,132.5831532663316583
belem,PA,443,95842.26,216.3482167042889391
osasco,SP,746,94358.72,126.4862198391420912
jundiai,SP,565,93038.64,164.6701592920353982
sao jose dos campos,SP,691,91637.75,132.6161360347322721
sorocaba,SP,633,88337.50,139.5537124802527646
juiz de fora,MG,427,75830.85,177.5898126463700234
ribeirao preto,SP,510,75798.71,148.6249215686274510
nova iguacu,RJ,442,71044.83,160.7349095022624434
campo grande,MS,320,67000.32,209.3760000000000000
sao luis,MA,353,64499.84,182.7190934844192635
joao pessoa,PB,256,63353.63,247.4751171875000000
vitoria,ES,379,62882.17,165.9160158311345646
sao goncalo,RJ,409,61852.97,151.2297555012224939
teresina,PI,281,60625.46,215.7489679715302491
barueri,SP,433,59969.68,138.4981062355658199
piracicaba,SP,369,59774.42,161.9902981029810298
mogi das cruzes,SP,383,59354.69,154.9730809399477807
contagem,MG,426,58947.14,138.3735680751173709
uberlandia,MG,374,57103.35,152.6827540106951872
vila velha,ES,334,56443.68,168.9930538922155689
londrina,PR,306,54496.04,178.0916339869281046
sao jose do rio preto,SP,335,53976.56,161.1240597014925373
maceio,AL,247,53170.76,215.2662348178137652
